mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB307	AV07189	Israel : 1841-1843	AM3126	Little, Luther	AS0305	Israel	Ship		Pugar Island of Java	128	70	https://catalog.archives.gov/id/454793109?objectPage=764	https://catalog.archives.gov/id/454793109?objectPage=694		1841 1842 1843
AB308	AV07194	Italy : 1847-1849	AM5224	Weld, F. A.	AS2759	Italy	Ship	Greenport, NY		63	147	https://catalog.archives.gov/id/454779349?objectPage=414			1847 1848 1849
AB309	AV07197	Italy : 1849-1851	AM5224	Weld, F. A.	AS2759	Italy	Ship	Greenport, NY	Arctic Ocean	122	197	https://catalog.archives.gov/id/454792177?objectPage=193			1849 1850 1851
AB310	AV07216	J. E. Donnell : 1845-1849	AM2827	Hussey	AS0331	J. E. Donnell			Honolulu	123	1	https://catalog.archives.gov/id/454792177?objectPage=239	https://catalog.archives.gov/id/454792177?objectPage=237		1845 1846 1847 1848 1849
AB311	AV07218	J. E. Donnell : 1851-1853	AM1670	Earle, Wm.	AS0331	J. E. Donnell	Bark	New Bedford, MA	Ochotsk Sea	147	v5	https://catalog.archives.gov/id/454797546?objectPage=41			1851 1852 1853
AB312	AV07254	James Allen : 1844-1848	AM4314	Sherman	AS0329	James Allen	Ship	New Bedford, MA		28	30	https://catalog.archives.gov/id/454771610?objectPage=48	https://catalog.archives.gov/id/454771610?objectPage=17		1844 1845 1846 1847 1848
AB313	AV07255	James Allen : 1848-1851	AM4483	Smith, F. C.	AS0329	James Allen	Ship	New Bedford, MA	Cape Horn	72	v8	https://catalog.archives.gov/id/454781080?objectPage=660			1848 1849 1850 1851
AB314	AV07307	James Maury : 1848-1851	AM5275	Whelden, Alexander	AS0330	James Maury	Ship	New Bedford, MA	Pacific Ocean, Sea of Japan	7		https://catalog.archives.gov/id/454766349?objectPage=553			1848 1849 1850 1851
AB315	AV07323	James Munroe (Monroe) : 1844-1847	AM2433	Harding, Charles D.	AS1677	James Munroe [Monroe]	Ship	Fairhaven, MA	Johanna Roads	141	1	https://catalog.archives.gov/id/454795781?objectPage=640	https://catalog.archives.gov/id/454795781?objectPage=638		1844 1845 1846 1847
AB316	NV086	James Stewart : 1833 - 1835	NM151	McKinzie, D.	NS031	James Stewart	Ship	St. John, N. B.	Indian Ocean	426, part 3	v4	https://catalog.archives.gov/id/454830299?objectPage=217	https://catalog.archives.gov/id/454830299?objectPage=216		1833 1834 1835
AB317	AV07370	Janus : 1835-1837	AM4941	Taber	AS0322	Janus	Ship		St. Augustine's Bay	108	133	https://catalog.archives.gov/id/454788615?objectPage=727	https://catalog.archives.gov/id/454788615?objectPage=594		1835 1836 1837
AB318	AV07371	Janus : 1837-1839	AM4941	Taber, E. T.	AS0322	Janus	Ship			128	1	https://catalog.archives.gov/id/454793109?objectPage=696	https://catalog.archives.gov/id/454793109?objectPage=693		1837 1838 1839
AB319	AV07405	Jason : 1841-1842	AM4383	Skinner, J. T.	AS1690	Jason	Ship	New London, CT		41	173	https://catalog.archives.gov/id/454774255?objectPage=192			1841 1842
AB320	AV07406	Jason : 1842-1844	AM2453	Harris, Geo.	AS1690	Jason	Ship	New London, CT		41	182	https://catalog.archives.gov/id/454774255?objectPage=201			1842 1843 1844
AB321	AV07412	Jasper : 1834-1835	AM2194	Gifford	AS1691	Jasper	Ship		Indian Ocean	404	260	https://catalog.archives.gov/id/454828273?objectPage=160			1834 1835
AB322	AV07426	Java : 1829-1830	AM1275	Colt, H.	AS0317	Java	Ship		South Atlantic	410	31	https://catalog.archives.gov/id/454828811?objectPage=236	https://catalog.archives.gov/id/454828811?objectPage=218	AOWV has AM2612 Hillman, Walter	1829 1830
AB323	AV07506	Jefferson : 1839-1841	AM0296	Baker, John S.	AS1695	Jefferson	Ship	New London, CT		41	156	https://catalog.archives.gov/id/454774255?objectPage=175		AOWV has AM0296 Barker, John S.	1839 1840 1841
AB324	AV07511	Jefferson II : 1845-1847	AM4551	Smith, S. P.	AS1698	Jefferson II	Ship	Sag Harbor, NY		63	193	https://catalog.archives.gov/id/454779349?objectPage=460		1st part	1845 1846 1847
